"","country","capital","lat","lon"
"158","Saint Pierre and Miquelon","Saint-Pierre",46.46,-56.12
"159","Saint Vincent and the Greenadines","Kingstown",13.1,-61.1
"160","Samoa","Apia",-13.5,-171.5
"161","San Marino","San Marino",43.55,12.3
"162","Sao Tome and Principe","Sao Tome",0.1,6.39
"163","Saudi Arabia","Riyadh",24.41,46.42
"164","Senegal","Dakar",14.34,-17.29
"165","Sierra Leone","Freetown",8.3,-13.17
"166","Slovakia","Bratislava",48.1,17.07
"167","Slovenia","Ljubljana",46.04,14.33
"168","Solomon Islands","Honiara",-9.27,159.57
"169","Somalia","Mogadishu",2.02,45.25
"170","South Africa","Pretoria (administrative) / Cape Town (legislative) / Bloemfontein (judicial)",-25.44,28.12
"171","Spain","Madrid",40.25,-3.45
"172","Sudan","Khartoum",15.31,32.35
"173","Suriname","Paramaribo",5.5,-55.1
"174","Swaziland","Mbabane (administrative)",-26.18,31.06
"175","Sweden","Stockholm",59.2,18.03
"176","Switzerland","Bern",46.57,7.28
"177","Syrian Arab Republic","Damascus",33.3,36.18
"178","Tajikistan","Dushanbe",38.33,68.48
"179","Thailand","Bangkok",13.45,100.35
"180","Togo","Lome",6.09,1.2
"181","Tonga","Nuku'alofa",-21.1,-174
"182","Tunisia","Tunis",36.5,10.11
"183","Turkey","Ankara",39.57,32.54
"184","Turkmenistan","Ashgabat",38,57.5
"185","Tuvalu","Funafuti",-8.31,179.13
"186","Uganda","Kampala",0.2,32.3
"187","Ukraine","Kiev (Russia)",50.3,30.28
"188","United Arab Emirates","Abu Dhabi",24.28,54.22
"189","United Kingdom of Great Britain and Northern Ireland","London",51.36,-0.05
"190","United  Republic of Tanzania","Dodoma",-6.08,35.45
"191","United States","Washington DC",39.91,-77.02
"192","United States
        of Virgin Islands","Charlotte Amalie",18.21,-64.56
"193","Uruguay","Montevideo",-34.5,-56.11
"194","Uzbekistan","Tashkent",41.2,69.1
"195","Vanuatu","Port-Vila",-17.45,168.18
"196","Venezuela","Caracas",10.3,-66.55
"197","Viet Nam","Hanoi",21.05,105.55
"198","Yugoslavia","Belgrade",44.5,20.37
"199","Zambia","Lusaka",-15.28,28.16
"200","Zimbabwe","Harare",-17.43,31.02
